Date,Hinckley Reservoir Elevation,Hinckley Reservoir Comparison to Elevation Trigger1,Hinckley Reservoir Comparison to Normal Elevation2,Hinckley Reservoir Discharge,1920 Operating Diagram Release4,Hinckley Reservoir Inflow,Hinckley Reservoir 30-Day Running Average Inflow5,Wilmurt Streamgage Flow,Mohawk Valley Water Authority Withdrawal,Delta Reservoir Elevation,Delta Reservoir Discharge,Nine Mile Feeder Discharge,,,
,(ft),(ft),(ft),(cfs)3,(cfs),(cfs),(cfs),(cfs),(cfs),(ft),(cfs),(cfs),,,
12/31/2009,1215.7,17.7,3.2,976,980,784,849,#N/A,31.9,539.0,230,0,,,
12/30/2009,1215.9,17.9,3.5,982,980,913,859,#N/A,31.9,539.1,230,0,,,
12/29/2009,1216.0,18.0,3.5,986,980,1131,856,#N/A,31.9,539.1,233,0,,,
12/28/2009,1215.9,17.9,3.2,985,980,1453,843,#N/A,32.3,539.0,239,0,,,
12/27/2009,1215.5,17.5,2.5,981,980,589,817,#N/A,#N/A,#N/A,#N/A,#N/A,,,
12/26/2009,1215.8,17.8,2.7,979,980,425,821,#N/A,#N/A,#N/A,#N/A,#N/A,,,
12/25/2009,1216.3,18.3,3.0,985,980,437,829,#N/A,#N/A,#N/A,#N/A,#N/A,,,
12/24/2009,1216.8,18.8,3.3,1016,1020,427,839,#N/A,#N/A,538.6,224,0,,,
12/23/2009,1217.3,19.3,3.8,1021,1020,321,851,#N/A,30.3,538.6,224,0,,,
12/22/2009,1217.9,19.9,4.3,1022,1020,467,871,#N/A,30.0,538.8,224,0,,,
12/21/2009,1218.4,20.4,4.9,1024,1020,439,895,#N/A,28.9,538.7,227,0,,,
12/20/2009,1218.9,20.9,5.3,1038,1020,448,937,402,#N/A,#N/A,#N/A,#N/A,,,
12/19/2009,1219.4,21.4,5.5,1047,1020,415,972,381,53.4,#N/A,#N/A,#N/A,,,
12/18/2009,1219.9,21.9,5.9,989,1020,498,973,360,54.3,538.8,230,0,,,
12/17/2009,1220.4,22.4,6.2,1034,1030,661,973,425,27.7,538.9,230,0,,,
12/16/2009,1220.7,22.7,6.4,1034,1030,783,967,513,27.4,538.7,239,0,,,
12/15/2009,1220.9,22.9,6.5,1030,1030,778,960,491,27.1,538.6,242,0,,,
12/14/2009,1221.1,23.1,6.6,1034,1030,719,951,476,#N/A,538.5,236,0,,,
12/13/2009,1221.4,23.4,6.9,1039,1030,583,946,398,26.9,#N/A,#N/A,#N/A,,,
12/12/2009,1221.7,23.7,7.4,1032,1030,637,944,447,#N/A,#N/A,#N/A,#N/A,,,
12/11/2009,1222.1,24.1,8.0,1038,1030,640,944,467,#N/A,538.4,230,0,,,
12/10/2009,1222.4,24.4,8.4,964,960,871,942,574,#N/A,538.3,236,0,,,
12/9/2009,1222.5,24.5,8.5,973,960,751,936,512,#N/A,538.3,227,0,,,
12/8/2009,1222.6,24.6,8.7,977,960,858,935,628,#N/A,538.3,230,0,,,
12/7/2009,1222.8,24.8,9.0,975,960,958,931,756,27.5,538.2,230,0,,,
12/6/2009,1222.8,24.8,9.1,954,960,1243,926,1016,27.1,#N/A,#N/A,#N/A,,,
12/5/2009,1222.6,24.6,9.0,966,960,1710,912,1535,#N/A,#N/A,#N/A,#N/A,,,
12/4/2009,1222.0,24.0,8.2,962,960,2718,881,2521,#N/A,537.7,236,0,,,
12/3/2009,1220.7,22.7,6.7,998,990,1816,818,1701,27.7,536.6,251,0,,,
12/2/2009,1220.1,22.0,5.9,997,990,1018,793,707,#N/A,536.2,224,0,,,
12/1/2009,1220.0,22.0,6.0,993,990,1063,807,836,28.8,536.0,246,0,,,
11/30/2009,1220.0,22.0,6.2,989,990,852,846,#N/A,29.0,535.7,246,0,,,
11/29/2009,1220.1,22.11,6.5,989,990,729,865,#N/A,#N/A,#N/A,#N/A,#N/A,,,
11/28/2009,1220.3,22.3,6.9,988,990,665,893,#N/A,#N/A,#N/A,#N/A,#N/A,,,
11/27/2009,1220.6,22.6,7.5,992,990,704,945,#N/A,#N/A,535.1,248,0,,,
