Date,Hinckley Reservoir Elevation,Hinckley Reservoir Comparison to Elevation Trigger1,Hinckley Reservoir Comparison to Normal Elevation2,Hinckley Reservoir Discharge,1920 Operating Diagram Release4,Hinckley Reservoir Inflow,Hinckley Reservoir 30-Day Running Average Inflow5,Wilmurt Streamgage Flow,Mohawk Valley Water Authority Withdrawal,Delta Reservoir Elevation,Delta Reservoir Discharge,Nine Mile Feeder Discharge
,(ft),(ft),(ft),(cfs)3,(cfs),(cfs),(cfs),(cfs),(cfs),(ft),(cfs),(cfs)
12/31/2012,1213.3,15.3,0.8,934,930,471,1213,354,35.7,542,231,0
12/30/2012,1213.8,15.8,1.4,1021,930,475,1208,366,,,,
12/29/2012,1214.2,16.2,1.7,938,930,578,1194,418,32.5,,,
12/28/2012,1214.5,16.5,1.8,1010,930,573,1179,436,,542,231,0
12/27/2012,1214.8,16.8,1.8,833,830,634,1172,446,,542.1,407,0
12/26/2012,1215,17,2,807,830,690,1161,448,,542.3,407,0
12/25/2012,1215.2,17.2,1.9,836,830,857,1144,583,32.7,,,
12/24/2012,1215.2,17.2,1.7,832,830,1074,1126,714,33,542.3,425,0
12/23/2012,1215,17,1.5,838,830,1435,1101,909,32.9,,,
12/22/2012,1214.5,16.5,0.9,837,830,2231,1063,1320,33.4,,,
12/21/2012,1213.2,15.2,-0.3,835,830,1726,1000,1150,33,543,1190,0
12/20/2012,1212.4,14.4,-1.2,759,760,1737,949,1090,33.3,543.6,1190,0
12/19/2012,1211.5,13.5,-2.4,770,760,2598,901,1680,32.9,544.1,1200,0
12/18/2012,1209.8,11.8,-4.2,765,760,1735,825,1330,33.7,,,
12/17/2012,1208.8,10.8,-5.4,765,760,607,783,488,31.9,,,
12/16/2012,1209,11,-5.3,760,760,691,773,479,33.1,,,
12/15/2012,1209.1,11.1,-5.3,758,760,779,765,565,31.2,,,
12/14/2012,1209.1,11.1,-5.4,762,760,964,756,702,32.2,,,
12/13/2012,1208.9,10.9,-5.6,604,600,1342,746,967,33,,,
12/12/2012,1208.2,10.2,-6.2,579,600,2256,718,1450,34.3,546.3,515,0
12/11/2012,1206.4,8.4,-7.7,606,600,3410,649,2450,33.7,546,597,0
12/10/2012,1203.3,5.3,-10.7,599,600,1852,551,1470,32.4,544.9,689,0
12/9/2012,1201.8,3.8,-12.2,603,600,775,500,508,32,,,
12/8/2012,1201.6,3.6,-12.2,605,600,776,479,,33.7,,,
12/7/2012,1201.5,3.5,-12.3,604,600,922,469,716,37.2,544.9,368,0
