EST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2010-1-1,34,30,26,31,27,20,96,88,75,29.96,29.89,29.80,10,4,1,14,4,,0.22,8,Snow,256
2010-1-2,26,18,8,22,10,1,86,77,64,29.90,29.83,29.76,10,5,2,23,12,31,0.00,8,Snow,291
2010-1-3,15,10,6,12,6,0,88,80,70,29.82,29.72,29.64,10,2,0,22,14,28,0.00,8,Fog-Snow,294
2010-1-4,17,14,10,11,10,8,88,80,71,29.88,29.82,29.78,10,5,1,13,9,,0.00,8,Snow,285
2010-1-5,19,14,8,18,13,7,93,87,79,29.86,29.80,29.76,10,5,1,13,5,,0.00,8,Snow,282
2010-1-6,23,14,6,20,15,4,93,87,74,29.90,29.84,29.75,10,7,2,17,8,24,0.00,8,Snow,296
2010-1-7,25,23,21,21,19,17,89,84,77,29.98,29.93,29.86,10,10,5,15,10,21,0.00,8,,291
2010-1-8,23,18,12,16,11,6,81,75,68,30.06,29.85,29.78,10,7,2,16,6,,0.00,8,Snow,310
2010-1-9,14,4,-7,8,-1,-12,83,72,56,30.38,30.25,30.06,10,10,10,15,9,,0.00,3,,299
2010-1-10,19,4,-11,14,0,-16,85,80,73,30.38,30.29,30.16,10,9,1,9,1,,0.00,5,Snow,310
2010-1-11,24,22,19,18,14,11,93,73,59,30.17,30.12,30.07,10,9,2,17,8,24,0.00,8,Snow,286
2010-1-12,21,11,1,19,12,-1,93,80,68,30.27,30.16,30.09,10,8,2,17,6,,0.00,7,Snow,306
2010-1-13,23,10,0,19,8,-6,89,81,71,30.26,30.21,30.15,10,8,1,7,1,,0.00,7,Snow,125
2010-1-14,37,30,23,26,22,19,88,72,54,30.23,30.16,30.06,10,9,6,9,4,,0.09,7,,128
2010-1-15,37,34,32,34,31,25,96,86,62,30.23,30.13,30.04,10,8,2,15,7,20,0.01,8,Rain,280
2010-1-16,36,32,27,30,27,25,92,78,67,30.24,30.19,30.15,10,10,7,10,5,,0.00,7,,275
2010-1-17,37,32,28,32,28,25,96,81,67,30.14,29.99,29.79,10,8,6,15,6,37,0.15,5,Rain,113
2010-1-18,35,34,32,34,32,28,100,93,85,29.97,29.85,29.75,10,4,1,12,2,,0.08,8,Rain,277
2010-1-19,32,30,28,30,29,27,100,93,87,29.96,29.92,29.88,9,4,1,7,2,,0.07,8,Snow,271
2010-1-20,34,30,25,29,27,22,100,89,73,30.18,29.99,29.89,10,5,1,12,4,,0.10,8,Snow,290
2010-1-21,30,24,17,23,20,13,92,83,67,30.32,30.23,30.17,10,10,6,6,2,,0.00,4,,330
2010-1-22,35,24,14,19,14,10,88,74,48,30.20,30.10,30.03,10,10,9,9,3,,0.00,0,,76
2010-1-23,34,20,7,15,9,4,88,63,35,30.34,30.27,30.19,10,10,10,9,3,,0.00,0,,108
2010-1-24,39,31,23,37,22,10,93,70,53,30.17,29.99,29.70,10,10,5,13,9,,0.30,6,Rain,112
2010-1-25,48,40,33,48,41,28,100,92,79,29.69,29.32,29.14,10,6,0,26,10,31,1.17,8,Fog-Rain,114
2010-1-26,34,31,28,28,25,19,93,80,61,29.83,29.60,29.45,10,7,0,17,6,24,0.05,8,Fog-Snow,269
2010-1-27,30,24,19,25,20,15,86,74,54,30.09,30.00,29.85,10,9,2,18,11,29,0.00,6,Snow,263
2010-1-28,32,20,8,25,13,-4,93,75,57,30.22,30.00,29.82,10,3,0,29,14,44,0.00,7,Fog-Snow,277
2010-1-29,9,4,-2,1,-5,-13,80,67,53,30.40,30.32,30.24,10,9,3,23,12,33,0.00,4,Snow,314
2010-1-30,7,-1,-9,-5,-11,-16,83,65,51,30.43,30.32,30.17,10,10,9,8,2,,0.00,0,,284
2010-1-31,23,8,-7,13,0,-11,85,71,55,30.18,30.11,30.02,10,10,8,13,2,22,0.00,7,,244
2010-2-1,24,20,15,19,14,4,93,76,52,30.29,30.16,30.00,10,5,1,17,13,28,0.00,7,Snow,283
2010-2-2,27,23,19,19,17,15,93,82,61,30.27,30.21,30.08,10,6,2,6,2,,0.03,8,Snow,103
2010-2-3,30,24,19,25,21,17,93,85,64,30.19,30.09,30.03,10,4,1,20,5,25,0.06,8,Snow,273
2010-2-4,26,18,10,16,10,2,78,64,50,30.46,30.36,30.22,10,10,9,25,12,31,0.00,5,Snow,298
2010-2-5,28,21,14,20,14,0,93,74,42,30.33,30.25,30.09,10,8,2,13,2,18,0.01,5,Snow,357
2010-2-6,21,14,6,5,1,-1,73,54,44,30.07,29.97,29.88,10,10,10,15,5,24,0.00,0,,351
2010-2-7,19,10,0,16,6,-4,92,77,62,30.09,30.02,29.97,10,10,7,16,4,,0.00,6,Snow,298
2010-2-8,21,12,3,17,10,1,92,79,68,30.14,30.04,29.98,10,8,2,20,8,26,0.00,8,Snow,302
2010-2-9,25,20,16,15,13,8,81,70,63,30.18,30.05,29.80,10,10,8,8,5,,0.00,6,,311
2010-2-10,32,28,24,27,20,14,93,77,54,29.75,29.50,29.37,10,6,1,18,6,26,0.06,8,Snow,67
2010-2-11,27,20,14,19,14,7,81,72,61,29.84,29.75,29.59,10,9,2,21,12,25,0.00,5,Snow,294
2010-2-12,28,18,7,18,9,3,92,76,49,29.94,29.89,29.84,10,10,5,17,3,25,0.00,3,Snow,307
2010-2-13,21,12,3,20,11,-1,93,80,63,29.87,29.66,29.55,10,8,2,18,5,,0.00,6,Snow,291
2010-2-14,30,26,21,27,22,19,93,87,75,29.73,29.58,29.51,10,5,2,20,11,26,0.00,8,Snow,279
2010-2-15,30,22,14,23,21,12,92,81,61,29.78,29.76,29.70,10,6,2,15,10,23,0.09,7,Snow,273
2010-2-16,30,26,23,25,21,17,86,76,66,29.61,29.56,29.51,10,8,2,18,6,25,0.01,8,Snow,321
2010-2-17,30,28,26,27,24,22,93,87,79,29.60,29.52,29.47,10,5,1,17,10,24,0.00,8,Snow,271
2010-2-18,30,29,28,27,26,23,93,87,76,29.69,29.63,29.51,10,7,1,26,12,32,0.05,8,Snow,283
2010-2-19,33,30,26,29,26,23,93,86,78,29.96,29.80,29.67,10,6,2,23,14,32,0.01,8,Snow,286
2010-2-20,33,32,30,30,28,27,96,90,78,30.02,29.99,29.97,10,5,0,16,11,22,0.00,8,Fog-Snow,277
2010-2-21,30,24,19,26,18,14,93,75,63,30.09,30.03,29.97,10,10,8,16,10,,0.01,7,Snow,288
2010-2-22,37,24,10,31,22,6,96,80,54,30.07,29.94,29.82,10,8,1,15,4,,0.02,5,Snow,114
