	United States	Germany	Spain	France	Italy	China	Argentina	Australia	Chile	South Africa
France	0.06	0.024	0.180644631	0.64	0.040608569	0	0.01	0.01	0	0
Germany	0.0865	0.61	0.125760566	0.137039192	0.258865645	0	0.01	0.06	0.1	0.19
Italy	0.033	0	0.074453215	0.063468557	0.51	0	0.01	0.01	0	0
UK	0	0	0.059653018	0.11403184	0.111011672	0	0.048	0.35	0.21	0.22
Portugal	0.011	0	0.058172998	0.071455017	0.046276616	0	0.01	0.01	0	0
rest of EU	0.255	0.462	0.273885874	0.272385889	0.239624119	0	0	0.01	0.21	0.17
United States	0.81	0.255	0.030628186	0.053736711	0.106797927	0	0.432	0.27	0.11	0.06
China	0.08	0.051	0.030134846	0.062252076	0	0.999	0	0.09	0	0
Canada	0.1793	0	0.016403552	0.030200455	0.02531976	0	0.075	0.07	0.04	0.05
Japan	0.0703	0.042	0	0.031205374	0.013871798	0	0.029	0.01	0.06	0
Spain	0.049	0	0.46	0.058443963	0.057463549	0	0.01	0.01	0	0
Chile	0	0	0	0	0	0	0	0	0.66	0
Australia	0	0	0	0	0	0	0	0.39	0	0
Argentina	0	0	0	0	0	0	0.77	0	0	0
South Africa	0	0	0	0	0	0	0	0	0	0.66
Rest of World	0.17	0.22	0.082223319	0.105780928	0.074579558	0.001	0.327	0.1	0.25	0.23
