Timestamp,Are you on the waitlist?,,Program,Do you use twitter?,Baseline experience,"Software experience (the smaller list) [R, data manipulation and modeling]","Software experience (the smaller list) [R, graphics (base, lattice, ggplot2, or grid)]","Software experience (the smaller list) [Reproducible research (sweave, knitr, ipnb, etc.)]",Software experience (the smaller list) [Python],"Software experience (the smaller list) [Version control (git, mercurial, subversion, etc.)]",Software experience (the smaller list) [Databases (any)],Software experience (the smaller list) [Web frontend (html/css/basic js/jquery)],Software experience (the smaller list) [Serious javascript (angular/ember/node/d3)],What is your preferred gender pronoun?,What code/text editor do you use most?
1/20/2015 17:02:04,No,,IDSE,No,"Excel, Stata, SQL, SPSS, Python, dropbox, google drive (formerly docs)",None,None,None,A little,None,Confident,A little,None,she/her,"stata, excel"
1/20/2015 19:29:02,No,,Other masters,Yes,"Excel, R, Rstudio, Python, LaTeX, Web: html css js, dropbox, google drive (formerly docs)",Confident,A little,None,Confident,None,Confident,Confident,None,he/him,RStudio
1/20/2015 20:47:17,No,,IDSE,No,"Excel, R, ggplot2, SQL, Rstudio, JSON, Python, non-git version control, XML, Web: html css js, dropbox, google drive (formerly docs)",A little,A little,None,A little,None,Confident,A little,None,he/him,visual studio
1/20/2015 20:47:52,No,,Other masters,No,"Excel, R, git / Github, SPSS, shell (terminal / command line), Rstudio, Python, amazon web services, dropbox",Confident,A little,None,Confident,A little,None,None,None,she/her,RStudio
1/20/2015 20:49:00,No,,IDSE,Yes,"Excel, R, SQL, Rstudio, Python, C/C++",A little,None,None,Confident,None,Confident,None,None,she/her,pycharm/webstorm
1/20/2015 20:51:16,No,,Other masters,Yes,"Excel, R, SQL, git / Github, SPSS, shell (terminal / command line), Rstudio, JSON, Python, Processing (language), C/C++, LaTeX, Pandas, Web: html css js, dropbox",A little,A little,A little,Confident,A little,A little,A little,None,she/her,pycharm/webstorm
1/20/2015 20:52:57,No,,Other masters,Yes,"Excel, R, ggplot2, SQL, git / Github, Rstudio, Python, Heroku, XML, dropbox, google drive (formerly docs)",Confident,A little,None,A little,A little,A little,A little,A little,he/him,Sublime
1/20/2015 22:14:04,No,,IDSE,No,"Excel, SQL, shell (terminal / command line), regular expressions (grep), Python, C/C++, Make",None,None,None,A little,Confident,Expert,Confident,Confident,she/her,visual studio
1/20/2015 22:14:53,No,,IDSE,No,"Excel, SQL, git / Github, ruby, non-git version control, XML, Web: html css js",A little,A little,None,A little,Confident,Confident,Expert,Confident,he/him,visual studio
1/20/2015 22:16:45,No,,Other masters,Yes,"Excel, R, Stata, ggplot2, SQL, git / Github, SPSS, shell (terminal / command line), Rstudio, JSON, Python, LaTeX, Web: html css js, amazon web services, dropbox, google drive (formerly docs)",Expert,Confident,A little,Confident,Confident,Confident,Confident,A little,he/him,RStudio
1/20/2015 22:19:13,No,,Other masters,No,"Excel, R, Stata, SQL, Rstudio, Python, LaTeX, dropbox, google drive (formerly docs)",A little,A little,None,A little,None,A little,None,None,she/her,RStudio
1/20/2015 22:34:14,No,,IDSE,No,"Excel, R, ggplot2, lattice, SQL, git / Github, shell (terminal / command line), regular expressions (grep), Rstudio, JSON, Python, Sweave/knitr, C/C++, Make, Pandas, non-git version control, XML, Web: html css js, vagrant/virtualbox, amazon web services, dropbox, google drive (formerly docs), Pair programming",Confident,Confident,Confident,Confident,Confident,Expert,Confident,None,he/him,notepad++
1/20/2015 23:22:07,No,,IDSE,Yes,"Excel, R, SQL, Rstudio, Python, C/C++, dropbox, google drive (formerly docs)",Confident,A little,A little,Confident,None,Confident,A little,None,she/her,RStudio
1/20/2015 23:25:05,No,,Other masters,No,"Excel, R, Stata, Python, C/C++, dropbox",A little,None,None,Confident,None,A little,None,None,he/him,RStudio
1/21/2015 0:04:03,No,,IDSE,Yes,"Excel, R, SQL, Rstudio, dropbox",A little,A little,None,None,None,A little,None,None,she/her,RStudio
1/21/2015 0:04:55,No,,IDSE,No,"Excel, R, Stata, Gephi, SQL, shell (terminal / command line), Python, C/C++, dropbox, google drive (formerly docs), OpenRefine (formerly Google refine)",A little,A little,None,Confident,A little,Confident,None,None,he/him,Sublime
1/21/2015 0:10:52,No,,IDSE,Yes,"Excel, R, SQL, git / Github, shell (terminal / command line), regular expressions (grep), Rstudio, Python, C/C++, GeoJSON, LaTeX, Make, non-git version control, XML, Web: html css js, dropbox, google drive (formerly docs)",Confident,A little,None,A little,Confident,A little,A little,A little,she/her,TextWrangler
1/21/2015 8:43:50,No,,IDSE,No,"Excel, SQL, shell (terminal / command line), regular expressions (grep), JSON, Python, C/C++, Make, non-git version control, XML, Web: html css js, dropbox, google drive (formerly docs)",A little,A little,None,Confident,Confident,Expert,Expert,A little,she/her,vi/vim
1/21/2015 8:55:07,No,,IDSE,No,"Excel, R, Stata, Gephi, ggplot2, lattice, shell (terminal / command line), Rstudio, Python, dropbox, google drive (formerly docs)",A little,A little,None,Confident,None,None,None,None,he/him,RStudio
1/21/2015 10:09:21,No,,IDSE,Yes,"Excel, SQL, git / Github, shell (terminal / command line), JSON, Python, XML, Web: html css js, dropbox",None,None,None,A little,A little,Expert,A little,None,he/him,sublime
1/21/2015 10:23:47,No,,IDSE,Yes,"Excel, R, SPSS, Python, dropbox, google drive (formerly docs)",A little,None,None,A little,None,None,A little,None,she/her,RStudio
1/21/2015 12:08:21,No,,IDSE,Yes,"Excel, R, D3, ggplot2, SQL, git / Github, regular expressions (grep), Rstudio, JSON, Python, Heroku, XML, Web: html css js, amazon web services, google drive (formerly docs)",Confident,A little,None,Confident,A little,Confident,A little,A little,he/him,RStudio
1/21/2015 14:30:54,No,,IDSE,No,"Gephi, SQL, amazon web services, google drive (formerly docs)",A little,A little,None,A little,None,Confident,None,None,she/her,notepad++
1/21/2015 15:05:35,No,,IDSE,No,"Excel, R, SQL, shell (terminal / command line), Python, LaTeX, Pandas, dropbox",A little,A little,A little,Confident,A little,A little,A little,A little,he/him,vi/vim
1/21/2015 18:57:31,No,,IDSE,No,"Excel, R, SQL, git / Github, shell (terminal / command line), regular expressions (grep), Rstudio, JSON, Python, LaTeX, non-git version control, XML, Web: html css js, amazon web services, google drive (formerly docs)",A little,A little,None,Confident,Confident,Expert,Confident,A little,he/him,TextWrangler
1/21/2015 22:16:46,No,,IDSE,Yes,"Excel, R, SQL, git / Github, shell (terminal / command line), Rstudio, JSON, Python, C/C++, vagrant/virtualbox, dropbox, google drive (formerly docs), Pair programming",A little,None,None,Confident,Confident,Expert,A little,None,he/him,visual studio
1/21/2015 23:03:08,No,,IDSE,No,"Excel, SQL, Python, dropbox",None,None,None,A little,None,Confident,None,None,he/him,RStudio
1/22/2015 5:36:18,No,,IDSE,Yes,"Excel, R, Stata, SQL, Rstudio, Python, C/C++, amazon web services",A little,A little,None,A little,None,Confident,A little,None,he/him,RStudio
1/22/2015 11:44:01,No,,IDSE,No,"Excel, R, ggplot2, Rstudio, Python, C/C++, dropbox",Confident,Confident,None,A little,None,A little,A little,None,he/him,RStudio
1/22/2015 13:12:22,No,,IDSE,No,"Excel, R, SQL, SPSS, Python, C/C++, LaTeX, dropbox",A little,None,None,A little,None,A little,None,None,try to use both,Sublime
1/22/2015 13:28:14,No,,IDSE,Yes,"Excel, R, Stata, D3, ggplot2, SQL, git / Github, Rstudio, JSON, Python, Processing (language), Leaflet, CartoDB, GeoJSON, ruby, Pandas, Web: html css js, dropbox, google drive (formerly docs), OpenRefine (formerly Google refine)",A little,A little,None,Confident,A little,Confident,Confident,None,he/him,Sublime Text
1/22/2015 18:07:00,No,,IDSE,Yes,"Excel, R, ggplot2, SQL, git / Github, shell (terminal / command line), regular expressions (grep), Rstudio, JSON, Python, ruby, Make, non-git version control, Web: html css js, amazon web services, dropbox",A little,A little,None,A little,A little,Expert,Confident,A little,she/her,RStudio
1/22/2015 19:25:06,No,,IDSE,,"Excel, R, Stata, SPSS, LaTeX",Confident,None,None,None,None,A little,None,None,she/her,None
1/22/2015 19:40:31,No,,Data Science certification,No,"Excel, SQL, shell (terminal / command line), regular expressions (grep), Python, Make, XML, google drive (formerly docs)",None,None,None,A little,Confident,Expert,A little,None,he/him,notepad++
1/22/2015 19:44:53,No,,IDSE,No,"Excel, SQL, shell (terminal / command line), Python, C/C++, XML, Web: html css js, dropbox",None,None,None,Confident,Confident,Confident,Confident,A little,she/her,pycharm/webstorm
1/22/2015 19:45:20,Yes,,IDSE,Yes,"Excel, SQL, git / Github, SPSS",A little,None,None,None,None,A little,A little,A little,she/her,notepad (regular)
1/22/2015 19:46:30,No,,IDSE,No,"Excel, R, ggplot2, SQL, SPSS, regular expressions (grep), Rstudio, Python, Sweave/knitr, non-git version control, Web: html css js, google drive (formerly docs)",Expert,Confident,A little,A little,A little,Confident,A little,None,she/her,RStudio
